SEASON_END_YEAR,PLAYER_NAME,AWARD_TYPE,IS_ELIGIBLE,REASON,SOURCE_URL
2026,Anthony Edwards,all_nba,0,"65-game rule extraordinary-circumstances challenge denied; ineligible for postseason awards","https://www.ap.org/news-highlights/spotlights/2026/doncic-and-cunningham-eligible-for-nba-awards-after-appeals-of-65-game-rule-but-edwards-is-not/"
2026,Luka Dončić,all_nba,1,"65-game rule extraordinary-circumstances challenge approved; eligible for postseason awards","https://www.reuters.com/sports/luka-doncic-cade-cunningham-now-eligible-awards--flm-2026-04-16/"
2026,Cade Cunningham,all_nba,1,"65-game rule extraordinary-circumstances challenge approved; eligible for postseason awards","https://www.reuters.com/sports/luka-doncic-cade-cunningham-now-eligible-awards--flm-2026-04-16/"
