SEASON_END_YEAR,PLAYER_NAME,ALL_ROOKIE_LABEL,PLAYER_NAME_KEY
2011,Paul George,1,paul george
2011,Wesley Johnson,1,wesley johnson
2011,Greg Monroe,1,greg monroe
2010,Darren Collison,2,darren collison
2010,Stephen Curry,2,stephen curry
2010,Tyreke Evans,2,tyreke evans
2010,Taj Gibson,2,taj gibson
2010,Brandon Jennings,2,brandon jennings
2010,DeJuan Blair,1,dejuan blair
2010,Jonny Flynn,1,jonny flynn
2010,James Harden,1,james harden
2010,Jonas Jerebko,1,jonas jerebko
2010,Marcus Thornton,1,marcus thornton
2009,Michael Beasley,2,michael beasley
2009,Brook Lopez,2,brook lopez
2009,O.J. Mayo,2,oj mayo
2009,Derrick Rose,2,derrick rose
2009,Russell Westbrook,2,russell westbrook
2009,Mario Chalmers,1,mario chalmers
2009,Marc Gasol,1,marc gasol
2009,Eric Gordon,1,eric gordon
2009,Kevin Love,1,kevin love
2009,D.J. Augustin,1,dj augustin
2009,Rudy Fernandez,1,rudy fernandez
2008,Kevin Durant,2,kevin durant
2008,Jeff Green,2,jeff green
2008,Al Horford,2,al horford
2008,Luis Scola,2,luis scola
2008,Al Thornton,2,al thornton
2008,Carl Landry,1,carl landry
2008,Jamario Moon,1,jamario moon
2008,Juan Carlos Navarro,1,juan carlos navarro
2008,Rodney Stuckey,1,rodney stuckey
2008,Thaddeus Young,1,thaddeus young
2007,Andrea Bargnani,2,andrea bargnani
2007,Randy Foye,2,randy foye
2007,Rudy Gay,2,rudy gay
2007,Brandon Roy,2,brandon roy
2007,LaMarcus Aldridge,2,lamarcus aldridge
2007,Jorge Garbajosa,2,jorge garbajosa
2007,Paul Millsap,1,paul millsap
2007,Adam Morrison,1,adam morrison
2007,Craig Smith,1,craig smith
2007,Tyrus Thomas,1,tyrus thomas
2007,Walter Hermann,1,walter hermann
2007,Rajon Rondo,1,rajon rondo
2007,Marcus Williams,1,marcus williams
2006,Andrew Bogut,2,andrew bogut
2006,Channing Frye,2,channing frye
2006,Chris Paul,2,chris paul
2006,Charlie Villanueva,2,charlie villanueva
2006,Deron Williams,2,deron williams
2006,Raymond Felton,1,raymond felton
2006,Ryan Gomes,1,ryan gomes
2006,Danny Granger,1,danny granger
2006,Luther Head,1,luther head
2006,Marvin Williams,1,marvin williams
2005,Luol Deng,2,luol deng
2005,Ben Gordon,2,ben gordon
2005,Dwight Howard,2,dwight howard
2005,Andre Iguodala,2,andre iguodala
2005,Emeka Okafor,2,emeka okafor
2005,Josh Childress,1,josh childress
